Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor),Accelerator Pedal Angle (%),Combined Throttle Request (D2WD610H diagnostic)* (%),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Manifold Absolute Pressure (kPa)
135866,14.40,7,44,0.65,1344,14.13,26880,1.01,2.1557,15.00,21,14.51,8.24,0.0000,0.00,7.96,1328.1,9,38
135970,14.40,7,44,0.65,1342,14.10,26816,1.01,2.1550,15.00,21,14.72,8.24,0.0000,0.00,7.97,1328.1,9,38
136075,14.40,7,44,0.65,1338,14.08,27008,1.01,2.1532,15.00,21,14.56,8.24,0.0000,0.00,7.96,1328.1,9,38
136178,14.40,7,44,0.65,1346,14.58,30080,1.01,2.1498,15.00,21,14.50,8.24,0.0000,0.00,7.96,1328.1,9,38
136283,14.40,7,44,0.65,1342,14.59,29888,1.01,2.1477,15.00,21,14.46,8.24,0.0000,0.00,7.96,1328.1,9,38
136386,14.40,7,44,0.65,1344,14.56,30016,1.01,2.1458,15.00,21,14.53,8.24,0.0000,0.00,7.96,1328.1,9,38
136492,14.32,7,44,0.65,1351,14.58,30080,1.01,2.1445,15.00,21,14.47,8.24,0.0000,0.00,7.96,1328.1,9,38
136594,14.40,7,44,0.65,1349,14.59,26944,1.01,2.1415,15.00,21,14.63,8.24,0.0000,0.00,7.96,1328.1,9,38
136698,14.40,7,44,0.65,1342,14.10,29888,1.01,2.1385,15.00,21,14.47,8.24,0.0000,0.00,7.95,1328.1,9,37
136802,14.40,7,44,0.65,1354,14.33,26880,1.01,2.1358,15.00,21,14.59,8.24,0.0000,0.00,7.96,1328.1,9,38
136905,14.40,7,44,0.65,1344,13.89,25472,1.01,2.1328,15.00,21,14.50,8.24,0.0000,0.00,7.96,1328.1,9,37
137010,14.40,7,44,0.64,1349,14.33,29952,1.01,2.1307,15.00,21,14.41,8.24,0.0000,0.00,7.96,1328.1,9,37
137113,14.32,7,44,0.64,1352,14.56,30080,1.01,2.1295,15.00,21,14.48,8.24,0.0000,0.00,7.95,1328.1,9,37
137218,14.40,7,44,0.64,1347,14.58,30080,1.01,2.1285,15.00,21,14.64,8.24,0.0000,0.00,7.96,1328.1,9,37
137322,14.40,7,44,0.64,1342,14.59,29952,1.01,2.1292,15.00,21,14.39,8.24,0.0000,0.00,7.95,1328.1,9,37
137426,14.40,7,44,0.64,1346,14.09,26880,1.01,2.1298,15.00,21,14.38,8.24,0.0000,0.00,7.95,1328.1,9,37
137530,14.32,7,44,0.65,1332,14.57,30080,1.01,2.1315,15.00,21,14.41,8.24,0.0000,0.00,7.95,1328.1,9,38
137633,14.40,7,44,0.65,1329,14.59,29952,1.01,2.1335,15.00,21,14.40,8.24,0.0000,0.00,7.95,1328.1,9,38
137737,14.40,7,44,0.65,1328,14.58,29824,1.01,2.1402,15.00,21,14.43,8.24,0.0000,0.00,7.95,1328.1,9,38
137841,14.40,7,44,0.65,1328,14.55,31168,1.01,2.1455,15.00,21,14.37,8.24,0.0000,0.00,7.95,1328.1,9,38
137945,14.40,7,44,0.65,1327,14.59,30016,1.01,2.1495,15.00,21,14.56,8.24,0.0000,0.00,7.95,1328.1,9,38
138049,14.32,7,44,0.65,1332,14.58,29888,1.01,2.1535,15.00,21,14.50,8.24,0.0000,0.00,7.94,1328.1,9,38
138153,14.32,7,44,0.65,1338,14.55,29824,1.01,2.1547,15.00,21,14.68,8.24,0.0000,0.00,7.95,1328.1,9,38
138257,14.32,7,44,0.65,1336,14.56,30080,1.01,2.1553,15.00,21,14.59,8.24,0.0000,0.00,7.95,1328.1,9,38
138361,14.40,7,44,0.65,1340,14.59,30016,1.01,2.1565,15.00,21,14.52,8.24,0.0000,0.00,7.94,1328.1,9,38
138465,14.32,7,44,0.65,1346,14.57,29888,1.01,2.1547,15.00,21,14.59,8.24,0.0000,0.00,7.94,1328.1,9,38
138568,14.40,7,44,0.65,1343,14.56,30080,1.01,2.1517,15.00,21,14.55,8.24,0.0000,0.00,7.94,1328.1,9,38
138673,14.16,7,44,0.65,1340,14.58,30080,1.01,2.1492,15.00,21,14.49,8.24,0.0000,0.00,7.95,1328.1,9,38
138776,14.40,7,44,0.65,1347,14.59,29888,1.01,2.1473,15.00,21,14.48,8.24,0.0000,0.00,7.94,1328.1,9,38
138881,14.32,7,44,0.65,1336,14.19,26944,1.01,2.1448,15.00,21,14.46,8.24,0.0000,0.00,7.94,1328.1,9,38
138984,14.32,7,44,0.65,1332,14.07,25472,1.01,2.1430,15.00,21,14.21,8.24,0.0000,0.00,7.94,1328.1,9,38
139089,14.32,7,44,0.65,1336,13.88,25280,1.01,2.1405,15.00,21,14.40,8.24,0.0000,0.00,7.94,1328.1,9,38
139192,14.40,7,44,0.65,1335,14.09,26880,1.01,2.1418,15.00,21,14.52,8.24,0.0000,0.00,7.94,1328.1,9,38
139297,14.40,7,44,0.65,1333,14.10,27008,1.01,2.1427,15.00,21,14.40,8.24,0.0000,0.00,7.94,1328.1,9,38
139400,14.40,7,44,0.65,1337,14.58,29952,1.01,2.1438,15.00,21,14.53,8.24,0.0000,0.00,7.93,1328.1,9,38
139504,14.32,7,44,0.65,1334,14.60,29888,1.01,2.1470,15.00,21,14.49,8.24,0.0000,0.00,7.94,1328.1,9,38
139608,14.40,7,44,0.65,1332,14.57,29952,1.01,2.1467,15.00,21,14.32,8.24,0.0000,0.00,7.94,1328.1,9,38
139712,14.40,7,44,0.65,1330,14.58,30080,1.01,2.1473,15.00,21,14.52,8.24,0.0000,0.00,7.93,1328.1,9,38
139817,14.48,7,44,0.65,1333,14.59,29888,1.01,2.1495,15.00,21,14.43,8.24,0.0000,0.00,7.93,1328.1,9,38
139920,14.40,7,44,0.65,1332,14.57,29888,1.01,2.1490,15.00,21,14.44,8.24,0.0000,0.00,7.93,1328.1,9,38
140025,14.48,7,44,0.65,1333,14.80,31680,1.01,2.1492,15.00,21,14.54,8.24,0.0000,0.00,7.94,1328.1,9,38
140128,14.32,7,44,0.65,1340,14.58,30016,1.01,2.1492,15.00,21,14.51,8.24,0.0000,0.00,7.93,1328.1,9,38
140232,14.32,7,44,0.65,1332,14.58,29888,1.01,2.1475,15.00,21,14.43,8.24,0.0000,0.00,7.94,1328.1,9,38
140337,14.32,7,44,0.65,1338,14.53,30016,1.01,2.1465,15.00,21,14.49,8.24,0.0000,0.00,7.93,1328.1,9,38
140440,14.24,7,44,0.65,1342,14.58,30016,1.01,2.1455,15.00,21,14.47,8.24,0.0000,0.00,7.94,1328.1,9,38
140545,14.40,7,44,0.65,1334,14.59,26944,1.01,2.1448,15.00,21,14.48,8.24,0.0000,0.00,7.93,1328.1,9,38
140648,14.24,7,44,0.65,1336,14.08,26880,1.01,2.1435,15.00,21,14.48,8.24,0.0000,0.00,7.93,1328.1,9,38
140753,14.40,7,44,0.65,1346,14.09,27008,1.01,2.1412,15.00,21,14.58,8.24,0.0000,0.00,7.93,1328.1,9,38
140856,14.32,7,44,0.65,1340,14.50,30016,1.01,2.1430,15.00,21,14.59,8.24,0.0000,0.00,7.93,1328.1,9,38
140961,14.40,7,44,0.65,1345,14.13,26816,1.01,2.1390,15.00,21,14.45,8.24,0.0000,0.00,7.93,1328.1,9,38
141064,14.24,7,44,0.65,1350,14.52,29888,1.01,2.1345,15.00,21,14.41,8.24,0.0000,0.00,7.93,1328.1,9,37
141169,14.40,7,44,0.64,1344,14.33,28416,1.01,2.1313,15.00,21,14.48,8.24,0.0000,0.00,7.93,1328.1,9,37
141272,14.32,7,44,0.64,1339,14.55,30016,1.01,2.1303,15.00,21,14.31,8.24,0.0000,0.00,7.93,1328.1,9,37
141377,14.32,7,44,0.64,1342,14.56,29952,1.01,2.1275,15.00,21,14.23,8.24,0.0000,0.00,7.93,1328.1,9,37
141480,14.32,7,44,0.64,1332,14.57,30144,1.01,2.1275,15.00,21,14.34,8.24,0.0000,0.00,7.92,1328.1,9,38
141584,14.32,7,44,0.64,1335,14.12,26880,1.01,2.1295,15.00,21,14.42,8.24,0.0000,0.00,7.92,1328.1,9,37
141689,14.40,7,44,0.65,1342,14.57,29888,1.01,2.1325,15.00,21,14.45,8.24,0.0000,0.00,7.92,1328.1,9,38
141792,14.40,7,44,0.65,1338,14.56,30080,1.01,2.1328,15.00,21,14.60,8.24,0.0000,0.00,7.93,1328.1,9,38
141896,14.40,7,44,0.65,1339,14.59,30080,1.01,2.1343,15.00,21,14.37,8.24,0.0000,0.00,7.92,1328.1,9,38
142000,14.40,7,44,0.65,1346,14.59,29888,1.01,2.1328,15.00,21,14.45,8.24,0.0000,0.00,7.92,1328.1,9,38
142103,14.32,7,44,0.64,1332,14.56,31488,1.01,2.1303,15.00,21,14.31,8.24,0.0000,0.00,7.92,1328.1,9,38
142208,14.40,7,44,0.65,1333,14.58,30016,1.01,2.1325,15.00,21,14.38,8.24,0.0000,0.00,7.92,1328.1,9,37
142313,14.40,7,44,0.64,1340,14.59,29952,1.01,2.1318,15.00,21,14.34,8.24,0.0000,0.00,7.92,1328.1,9,38
142418,14.48,7,44,0.65,1340,14.55,29760,1.01,2.1320,15.00,21,14.59,8.24,0.0000,0.00,7.91,1328.1,9,38
142521,14.40,7,44,0.65,1341,14.57,30144,1.01,2.1340,15.00,21,14.41,8.24,0.0000,0.00,7.92,1328.1,9,38
142626,14.40,7,44,0.65,1350,14.59,30016,1.01,2.1320,15.00,21,14.32,8.24,0.0000,0.00,7.92,1328.1,9,37
142731,14.32,7,44,0.64,1339,14.58,29888,1.01,2.1292,15.00,21,14.45,8.24,0.0000,0.00,7.92,1328.1,9,37
142834,14.40,7,44,0.64,1342,14.55,30016,1.01,2.1265,15.00,21,14.32,8.24,0.0000,0.00,7.91,1328.1,9,37
142939,14.32,7,44,0.64,1345,14.59,29952,1.01,2.1255,15.00,21,14.40,8.24,0.0000,0.00,7.91,1328.1,9,37
143043,14.40,7,44,0.64,1342,14.59,29952,1.01,2.1235,15.00,21,14.28,8.24,0.0000,0.00,7.91,1328.1,9,37
143147,14.32,7,44,0.64,1335,14.10,27072,1.01,2.1238,15.00,21,14.25,8.24,0.0000,0.00,7.92,1328.1,9,37
143252,14.40,7,44,0.64,1336,13.93,25408,1.01,2.1242,15.00,21,14.33,8.24,0.0000,0.00,7.91,1328.1,9,37
143355,14.40,7,44,0.64,1336,14.35,28288,1.01,2.1275,15.00,21,14.45,8.24,0.0000,0.00,7.91,1328.1,9,38
143459,14.40,7,44,0.64,1332,14.10,26816,1.01,2.1303,15.00,21,14.32,8.24,0.0000,0.00,7.90,1328.1,9,38
143563,14.40,7,44,0.65,1331,14.56,30016,1.01,2.1340,15.00,21,14.26,8.24,0.0000,0.00,7.91,1328.1,9,38
143667,14.40,7,44,0.65,1338,14.59,30080,1.01,2.1358,15.00,21,14.52,8.24,0.0000,0.00,7.91,1328.1,9,38
143771,14.40,7,44,0.65,1339,14.57,29824,1.01,2.1378,15.00,21,14.46,8.24,0.0000,0.00,7.91,1328.1,9,38
143875,14.40,7,44,0.65,1335,14.56,30016,1.01,2.1365,15.00,21,14.38,8.24,0.0000,0.00,7.90,1328.1,9,38
143979,14.40,7,44,0.65,1339,14.57,30016,1.01,2.1375,15.00,21,14.33,8.24,0.0000,0.00,7.90,1328.1,9,38
144082,14.16,7,44,0.65,1332,14.58,29952,1.01,2.1368,15.00,21,14.29,8.24,0.0000,0.00,7.91,1328.1,9,38
144187,14.32,7,44,0.65,1339,14.56,29888,1.01,2.1385,15.00,21,14.29,8.24,0.0000,0.00,7.90,1328.1,9,38
144290,14.32,7,44,0.65,1338,14.80,30464,1.01,2.1375,15.00,21,14.48,8.24,0.0000,0.00,7.91,1328.1,9,38
144395,14.32,7,44,0.65,1336,14.58,30016,1.01,2.1353,15.00,21,14.54,8.24,0.0000,0.00,7.90,1328.1,9,38
144498,14.40,7,44,0.65,1336,14.58,29888,1.01,2.1332,15.00,21,14.37,8.24,0.0000,0.00,7.91,1328.1,9,37
144602,14.32,7,44,0.64,1345,14.55,30016,1.01,2.1307,15.00,21,14.28,8.24,0.0000,0.00,7.90,1328.1,9,37
144706,14.32,7,44,0.65,1332,14.58,30080,1.01,2.1298,15.00,21,14.33,8.24,0.0000,0.00,7.91,1328.1,9,37
144810,14.32,7,44,0.64,1333,14.58,29952,1.01,2.1310,15.00,21,14.18,8.24,0.0000,0.00,7.91,1328.1,9,38
144915,14.40,7,44,0.64,1335,14.57,29952,1.01,2.1303,15.00,21,14.23,8.24,0.0000,0.00,7.90,1328.1,9,38
145018,14.40,7,44,0.65,1331,14.57,30144,1.01,2.1328,15.00,21,14.36,8.24,0.0000,0.00,7.91,1328.1,9,38
145121,14.40,7,44,0.65,1326,14.60,29952,1.01,2.1350,15.00,21,14.25,8.24,0.0000,0.00,7.91,1328.1,9,38
145226,14.40,7,45,0.65,1317,14.57,29888,1.01,2.1365,15.00,21,14.28,8.24,0.0000,0.00,7.91,1328.1,9,38
145329,14.40,7,45,0.65,1322,14.53,29888,1.01,2.1430,15.00,21,14.43,8.24,0.0000,0.00,7.90,1328.1,9,38
145434,14.16,7,45,0.65,1318,14.34,28480,1.01,2.1463,15.00,21,14.33,8.24,0.0000,0.00,7.90,1328.1,9,38
145538,14.40,7,45,0.65,1322,14.59,29888,1.01,2.1495,15.00,21,14.37,8.24,0.0000,0.00,7.90,1328.1,9,38
145641,14.32,7,45,0.65,1326,14.56,29952,1.01,2.1528,15.00,21,14.44,8.24,0.0000,0.00,7.90,1328.1,9,38
145746,14.40,7,45,0.65,1326,14.57,30144,1.01,2.1543,15.00,21,14.53,8.24,0.0000,0.00,7.90,1328.1,9,38
145849,14.32,7,45,0.65,1326,14.60,29888,1.01,2.1547,15.00,21,14.50,8.24,0.0000,0.00,7.90,1328.1,9,38
145954,14.40,7,45,0.65,1335,14.57,29888,1.01,2.1557,15.00,21,14.30,8.24,0.0000,0.00,7.90,1328.1,9,38
146058,14.40,7,45,0.65,1334,14.57,29952,1.01,2.1557,15.00,21,14.58,8.24,0.0000,0.00,7.90,1328.1,9,38
146161,14.40,7,45,0.65,1328,14.58,30016,1.01,2.1535,15.00,21,14.34,8.24,0.0000,0.00,7.90,1328.1,9,38
146266,14.40,7,45,0.65,1333,14.59,29824,1.01,2.1545,15.00,21,14.43,8.24,0.0000,0.00,7.90,1328.1,9,38
146369,14.40,7,45,0.65,1340,14.70,31552,1.01,2.1505,15.00,21,14.58,8.24,0.0000,0.00,7.90,1328.1,9,38
146474,14.48,7,45,0.65,1343,14.57,30016,1.01,2.1475,15.00,21,14.57,8.24,0.0000,0.00,7.89,1328.1,9,38
146577,14.40,7,45,0.65,1340,14.58,29888,1.01,2.1597,15.00,21,14.38,8.24,0.0000,0.00,7.89,1328.1,9,38
146681,14.40,7,45,0.65,1350,14.56,29760,1.01,2.1383,15.00,21,14.49,8.24,0.0000,0.00,7.89,1328.1,9,38
146785,14.40,7,45,0.65,1340,14.56,30016,1.01,2.1335,15.00,21,14.29,8.24,0.0000,0.00,7.89,1328.1,9,37
146889,14.40,7,45,0.64,1339,14.58,29952,1.01,2.1288,15.00,21,14.34,8.24,0.0000,0.00,7.89,1328.1,9,37
146993,14.40,7,45,0.64,1343,14.58,29824,1.01,2.1265,15.00,21,14.35,8.24,0.0000,0.00,7.90,1328.1,9,37
147097,14.40,7,45,0.64,1336,14.08,26944,1.01,2.1258,15.00,21,14.17,8.24,0.0000,0.00,7.89,1328.1,9,37
147201,14.24,7,45,0.64,1321,14.57,30080,1.01,2.1258,15.00,21,14.25,8.24,0.0000,0.00,7.89,1328.1,9,38
147305,14.32,7,45,0.64,1327,14.58,29888,1.01,2.1295,15.00,21,14.23,8.24,0.0000,0.00,7.89,1328.1,9,38
147408,14.40,7,45,0.65,1320,14.57,29824,1.01,2.1313,15.00,21,14.30,8.24,0.0000,0.00,7.90,1328.1,9,38
147513,14.40,7,45,0.65,1322,14.33,28480,1.01,2.1368,15.00,21,14.09,8.24,0.0000,0.00,7.89,1328.1,9,38
147617,14.40,7,45,0.65,1328,14.35,29056,1.01,2.1395,15.00,21,14.36,8.24,0.0000,0.00,7.89,1328.1,9,38
147720,14.40,7,45,0.65,1330,14.58,29888,1.01,2.1412,15.00,21,14.52,8.24,0.0000,0.00,7.89,1328.1,9,38
147825,14.40,7,45,0.65,1328,14.57,30080,1.01,2.1460,15.00,21,14.41,8.24,0.0000,0.00,7.89,1328.1,9,38
147928,14.48,7,45,0.65,1324,14.59,30080,1.01,2.1488,15.00,21,14.30,8.24,0.0000,0.00,7.89,1328.1,9,38
148032,14.40,7,45,0.65,1334,14.57,29824,1.01,2.1475,15.00,21,14.61,8.24,0.0000,0.00,7.89,1328.1,9,38
148136,14.16,7,45,0.65,1331,14.55,29952,1.01,2.1477,15.00,21,14.42,8.24,0.0000,0.00,7.88,1328.1,9,38
148241,14.40,7,45,0.65,1339,14.56,30080,1.01,2.1470,15.00,21,14.52,8.24,0.0000,0.00,7.89,1328.1,9,38
148346,14.24,7,45,0.65,1348,14.58,29952,1.01,2.1438,15.00,21,14.47,8.24,0.0000,0.00,7.88,1328.1,9,38
148449,14.40,7,45,0.65,1344,14.56,29888,1.01,2.1410,15.00,21,14.37,8.24,0.0000,0.00,7.89,1328.1,9,38
148553,14.32,7,45,0.65,1338,14.80,30144,1.01,2.1350,15.00,21,14.34,8.24,0.0000,0.00,7.88,1328.1,9,37
148656,14.32,7,45,0.64,1346,14.58,29952,1.01,2.1282,15.00,21,14.35,8.24,0.0000,0.00,7.88,1328.1,9,37
148761,14.32,7,45,0.64,1333,14.57,29888,1.01,2.1260,15.00,21,14.27,8.24,0.0000,0.00,7.88,1328.1,9,37
148865,14.32,7,45,0.64,1338,14.10,26944,1.01,2.1255,15.00,21,14.24,8.24,0.0000,0.00,7.88,1328.1,9,37
148969,14.32,7,45,0.64,1340,14.11,27008,1.01,2.1250,15.00,21,14.27,8.24,0.0000,0.00,7.89,1328.1,9,37
149073,14.40,7,45,0.64,1330,14.10,26752,1.01,2.1252,15.00,21,14.48,8.24,0.0000,0.00,7.88,1328.1,9,38
149177,14.32,7,45,0.64,1328,14.10,26944,1.01,2.1280,15.00,21,14.28,8.24,0.0000,0.00,7.88,1328.1,9,38
149281,14.40,7,45,0.64,1339,14.09,27008,1.01,2.1295,15.00,21,14.22,8.24,0.0000,0.00,7.87,1328.1,9,38
149385,14.40,7,45,0.65,1330,14.60,29952,1.01,2.1305,15.00,21,14.50,8.24,0.0000,0.00,7.88,1328.1,9,38
149488,14.40,7,45,0.65,1336,14.57,29952,1.01,2.1292,15.00,21,14.31,8.24,0.0000,0.00,7.88,1328.1,9,38
149593,14.40,7,45,0.65,1345,14.54,29888,1.01,2.1300,15.00,21,14.38,8.24,0.0000,0.00,7.88,1328.1,9,37
149696,14.40,7,45,0.64,1342,14.34,28480,1.01,2.1125,15.00,21,14.47,8.24,0.0000,0.00,7.88,1328.1,9,38
149801,14.40,7,45,0.64,1344,14.60,29760,1.01,2.1267,15.00,22,14.38,8.24,0.0000,0.00,7.88,1328.1,9,37
149904,14.48,7,45,0.64,1339,14.56,30016,1.01,2.1255,15.00,21,14.32,8.24,0.0000,0.00,7.87,1328.1,9,37
150008,14.40,7,45,0.64,1345,14.59,29952,1.01,2.1227,15.00,21,14.33,8.24,0.0000,0.00,7.88,1328.1,9,37
150113,14.40,7,45,0.64,1332,14.59,29952,1.01,2.1220,15.00,22,14.30,8.24,0.0000,0.00,7.87,1328.1,9,37
150216,14.40,7,45,0.64,1339,14.57,29824,1.01,2.1208,15.00,22,14.37,8.24,0.0000,0.00,7.88,1328.1,9,37
150320,14.48,7,45,0.64,1347,14.56,30080,1.01,2.1215,15.00,22,14.49,8.24,0.0000,0.00,7.88,1328.1,9,37
150424,14.40,7,45,0.64,1347,14.60,26944,1.01,2.1227,15.00,22,14.47,8.24,0.0000,0.00,7.87,1328.1,9,37
150528,14.40,7,45,0.64,1346,14.43,29824,1.01,2.1193,15.00,21,14.46,8.24,0.0000,0.00,7.87,1328.1,9,37
150632,14.40,7,45,0.64,1355,14.79,31616,1.01,2.1198,15.00,21,14.41,8.24,0.0000,0.00,7.87,1328.1,9,37
150735,14.40,7,45,0.64,1348,14.58,30016,1.01,2.1147,15.00,21,14.26,8.24,0.0000,0.00,7.88,1328.1,9,37
150840,14.40,7,45,0.64,1348,14.59,29824,1.01,2.1107,15.00,21,14.26,8.24,0.0000,0.00,7.87,1328.1,9,37
150944,14.48,7,45,0.64,1348,14.55,29760,1.01,2.1078,15.00,21,14.39,8.24,0.0000,0.00,7.86,1328.1,9,37
151047,14.40,7,45,0.64,1339,14.57,30080,1.01,2.1075,15.00,21,14.26,8.24,0.0000,0.00,7.87,1328.1,9,37
151152,14.48,7,45,0.64,1332,14.60,29888,1.01,2.0960,15.00,21,14.32,8.24,0.0000,0.00,7.87,1328.1,9,37
151256,14.40,7,45,0.64,1345,14.58,29888,1.01,2.1135,15.00,21,14.37,8.24,0.0000,0.00,7.87,1328.1,9,37
151359,14.48,7,45,0.64,1333,14.56,30016,1.01,2.1162,15.00,21,14.38,8.24,0.0000,0.00,7.87,1328.1,9,37
151463,14.40,7,45,0.64,1336,14.58,30080,1.01,2.1223,15.00,21,14.29,8.24,0.0000,0.00,7.86,1328.1,9,37
151567,14.32,7,45,0.64,1338,14.58,29888,1.01,2.1245,15.00,22,14.33,8.24,0.0000,0.00,7.87,1328.1,9,37
151672,14.40,7,45,0.64,1336,14.56,29888,1.01,2.1242,15.00,22,14.44,8.24,0.0000,0.00,7.87,1328.1,9,38
151775,14.24,7,45,0.64,1333,14.33,28480,1.01,2.1250,15.00,22,14.30,8.24,0.0000,0.00,7.86,1328.1,9,38
151880,14.32,7,45,0.64,1344,14.34,29760,1.01,2.1238,15.00,22,14.38,8.24,0.0000,0.00,7.86,1328.1,9,37
151983,14.32,7,45,0.64,1334,14.56,29952,1.01,2.1235,15.00,22,14.33,8.24,0.0000,0.00,7.86,1328.1,9,37
152087,14.32,7,45,0.64,1334,14.56,30144,1.01,2.1233,15.00,22,14.18,8.24,0.0000,0.00,7.86,1328.1,9,37
152191,14.40,7,45,0.64,1334,14.59,30016,1.01,2.1238,15.00,22,14.31,8.24,0.0000,0.00,7.86,1328.1,9,38
152295,14.40,7,45,0.64,1328,14.57,29888,1.01,2.1275,15.00,22,14.25,8.24,0.0000,0.00,7.86,1328.1,9,38
152399,14.40,7,45,0.65,1328,14.56,30016,1.01,2.1305,15.00,22,14.25,8.24,0.0000,0.00,7.86,1328.1,9,38
152503,14.48,7,45,0.64,1338,14.58,30080,1.01,2.1307,15.00,22,14.40,8.24,0.0000,0.00,7.87,1328.1,9,38
152607,14.40,7,45,0.65,1332,14.59,29760,1.01,2.1313,15.00,22,14.49,8.24,0.0000,0.00,7.86,1328.1,9,38
152711,14.40,7,45,0.65,1333,14.56,29952,1.01,2.1325,15.00,22,14.42,8.24,0.0000,0.00,7.86,1328.1,9,37
152815,14.40,7,45,0.64,1339,14.76,30080,1.01,2.1300,15.00,22,14.36,8.24,0.0000,0.00,7.86,1328.1,9,37
152918,14.40,7,45,0.64,1340,14.59,29824,1.01,2.1280,15.00,22,14.53,8.24,0.0000,0.00,7.86,1328.1,9,38
153023,14.40,7,45,0.64,1338,14.57,29760,1.01,2.1300,15.00,22,14.38,8.24,0.0000,0.00,7.86,1328.1,9,37
153126,14.40,7,45,0.64,1339,14.55,30016,1.01,2.1435,15.00,22,14.35,8.24,0.0000,0.00,7.86,1328.1,9,37
153231,14.40,7,45,0.64,1348,14.59,29824,1.01,2.1258,15.00,22,14.38,8.24,0.0000,0.00,7.85,1328.1,9,37
153335,14.48,7,45,0.64,1334,14.59,29888,1.01,2.1242,15.00,22,14.27,8.24,0.0000,0.00,7.85,1328.1,9,37
153439,14.40,7,45,0.64,1338,14.56,30016,1.01,2.1227,15.00,22,14.35,8.24,0.0000,0.00,7.86,1328.1,9,37
153544,14.48,7,45,0.64,1346,14.59,30016,1.01,2.1225,15.00,22,14.43,8.24,0.0000,0.00,7.86,1328.1,9,37
153648,14.40,7,45,0.64,1342,14.59,29888,1.01,2.1215,15.00,22,14.39,8.24,0.0000,0.00,7.85,1328.1,9,37
153754,14.48,7,45,0.64,1340,14.09,26880,1.01,2.1172,15.00,22,14.32,8.24,0.0000,0.00,7.85,1328.1,9,37
153857,14.40,7,45,0.64,1346,14.08,25728,1.01,2.1172,15.00,22,14.45,7.84,0.0000,0.00,7.86,1328.1,9,37
153961,14.40,7,45,0.64,1343,14.34,26880,1.01,2.1172,15.00,22,14.22,8.24,0.0000,0.00,7.85,1328.1,9,37
154065,14.40,7,45,0.64,1344,14.11,26816,1.01,2.1140,15.00,22,14.22,8.24,0.0000,0.00,7.85,1328.1,9,37
154169,14.40,7,45,0.64,1343,14.09,29760,1.01,2.1130,15.00,22,14.27,8.24,0.0000,0.00,7.85,1328.1,9,37
154274,14.40,7,45,0.64,1331,14.59,30016,1.01,2.1140,15.00,22,14.25,8.24,0.0000,0.00,7.86,1328.1,9,37
154378,14.48,7,45,0.64,1326,14.59,29888,1.01,2.1138,15.00,22,14.15,8.24,0.0000,0.00,7.85,1328.1,9,37
154482,14.40,7,45,0.64,1334,14.54,30016,1.01,2.1158,15.00,22,14.42,8.24,0.0000,0.00,7.85,1328.1,9,37
154586,14.24,7,45,0.64,1331,14.57,30080,1.01,2.1208,15.00,22,14.22,8.24,0.0000,0.00,7.85,1328.1,9,38
154691,14.32,7,45,0.64,1336,14.58,29888,1.01,2.1245,15.00,22,14.27,7.84,0.0000,0.00,7.85,1328.1,9,37
154795,14.32,7,45,0.64,1338,14.56,29888,1.01,2.1240,15.00,22,14.52,8.24,0.0000,0.00,7.85,1328.1,9,37
154898,14.32,7,45,0.64,1339,14.09,27008,1.01,2.1267,15.00,22,14.28,7.84,0.0000,0.00,7.85,1328.1,9,38
155003,14.40,7,45,0.64,1331,14.59,29952,1.01,2.1275,15.00,22,14.46,8.24,0.0000,0.00,7.85,1328.1,9,37
155106,14.40,7,45,0.64,1342,14.57,29888,1.01,2.1270,15.00,22,14.38,8.24,0.0000,0.00,7.84,1328.1,9,38
155211,14.32,7,45,0.64,1334,14.54,30080,1.01,2.1275,15.00,22,14.34,8.24,0.0000,0.00,7.85,1328.1,9,37
155314,14.40,7,45,0.64,1338,14.58,30080,1.01,2.1273,15.00,22,14.30,7.84,0.0000,0.00,7.84,1328.1,9,37
155417,14.40,7,45,0.64,1346,14.59,29888,1.01,2.1252,15.00,22,14.33,8.24,0.0000,0.00,7.84,1328.1,9,37
155522,14.40,7,45,0.64,1339,14.55,30016,1.01,2.1238,15.00,22,14.41,8.24,0.0000,0.00,7.85,1328.1,9,37
155626,14.32,7,45,0.64,1341,14.58,30144,1.01,2.1238,15.00,22,14.44,8.24,0.0000,0.00,7.84,1328.1,9,37
155730,14.40,7,45,0.64,1351,14.59,29952,1.01,2.1218,15.00,22,14.36,8.24,0.0000,0.00,7.84,1328.1,9,37
155834,14.40,7,45,0.64,1345,14.57,29952,1.01,2.1193,15.00,22,14.32,8.24,0.0000,0.00,7.84,1328.1,9,37
155938,14.40,7,45,0.64,1347,14.55,29888,1.01,2.1145,15.00,22,14.24,8.24,0.0000,0.00,7.84,1328.1,9,37
